Plate,Customer_meaning,Reviewer_comments
MHB 13,MY INITIALS AND LUCKY NUMBER,13-GANG
MICHO88,NICKNAME AND THE YEAR I WAS BORN,88-HITLER
MIJO831,SON DATE OF BIRTH,CA AREA CODE
MNT CHP,MINT CHIP ICE CREAM,MINT CHIP…. CHP
NSWL 88,MEANING IS MY LAST NAME BACKWARDS BUT IN AN ACRONYM. I ALSO TOOK OUT THE I AND A TO MAKE IT UNIQUE. I WAS BORN IN 1988.,88-HITLER. LAST NAME IS LAWSIN
PNTO187,IT’S A HOT ROD TERM FOR A CAR THAT IS PAINTED ALL BLACK AND THE CAR IS A PINTO,187-MURDER
PRN4LFE,PRINCE ROGERS NELSON FOR LIFE,PORN FOR LIFE… PRN IS A TERM FOR NURSES
Q 5 O,CAR MODEL,50
SIXBNGR,ENGINE IS A 6 CYLINDER,6BANGER IS MARKED UNACCEPTABLE
SKOZ HOE,MY NICKNAME IS SKO AND HOE IS SHORT FOR TAHOE. WHICH IS WHAT THE VEHICLE THIS PLATE IS GOING ON IS.,HOE
SKR8P N,SCRAPING LOW TO THE GROUND,SCRAPN, SCRAPPIN. SCRAP IS A TERM FOR SORENOS
SNKE4O8,SNAKE 4O8,CA AREA CODE
SUP 5 O,SUPERIOR 5.0,50
TACOTUK,TACOMA TRUCK,TACO
TNT 5O5O,TRISH AND TAMMY 50% & 50%,TNT
TOFULOL,TOFULOL,TOFU LOL OR TO FUCK YOU LOL
VC231O3,VEHICLE CODE,VEHICLE CODE
WTDA PHK,WHAT DAY IS POLY HIGH KICK OFF,WHAT THE FUCK
YK69NYJ,YK NICKNAME. 69NYJ IS FAVORITE TEAM AND YEAR,COULDN'T VERIFY 1969
1FU RRY1,AS BIG AS A TANK. FOR EXCURSION,1 FU…. FURY…F-U-RA-RY FARRARI
2MYTACO,2 MY TACOMA,TACO
4 EVER G,FIRST INITIAL OF LAST NAME,G
5O GASER,1950 CHEVY STREET RACER,50
65 MY442,65-YEAR OF MANUFACTURE. MY-MINE. 442-MODEL OF CAR,CA AREA CODE
69CUDIE,FOR MY 1969 BARRACUDA,COULDN'T VERIFY 1969. CUDIE..SEX
7ONE4,AREA CODE,CA AREA CODE
72 CUTY,1972 CUTLASS,CUTY...SEX
8 O5RAMS,MY AREA CODE,CA AREA CODE
88 KANG,YEAR OF BIRTH AND LAST NAME,88-HITLER
SHRIF$R,SHERIFF LOVER ( I HAVE FAMILY IN THE DEPT),SHERIFF LOVER
DIX 15,DICK'S 2015 CHEVROLET SS,FIRST NAME IS RICHARD. COULDN'T VERIFY A '15 VEHICLE
SSNUKE,SS-SUBMARINE. NUKE -EX JOB WAS NUCLEAR REACTOR OPERATOR,NUKE
CHOCCHP,CHOCOLATE CHIP,CHOCOLATE CHIP…CHP
DBL DZZ,"THIS IS THE NICKNAME OF MY OFF ROADING RACE TEAM AND BUSINESS ""DOWN AND DIRTY"" AKA ""DOUBLE D""",DOUBLE D'S
PUFF N1,PUFF IS FOR PUFIN WHICH IS A BIRD. N MEANS IN. 1 AS IN GOLF HOLE IN ONE,PUFFIN ONE… SMOKING ONE
WANGSTA,I PUT WANG FOR MY WING THAT I HAVE ON IT,WHITE GANGSTA
3JAXH8R,GOLF SLANG MEANING TO THREE PUTT. THREE JACKS HATER,HATER
THREWAY,THERE WAY (FRANK SINATRA SONG),THREEWAY
TITSS,TIGHT SUPER SPORT,TITS
KLNPOWR,CLEAN POWER,TO HAVE KILLING POWER, OR TO KILL THE POWER AKA SHUT OFF THE LIGHTS
AGUAS 13,NOT ON QUICKWEB YET,13=GANG NUMBER, NO 2013 CAR ON ANI
BAF,NOT ON QUICKWEB YET,busy as fuck, bored as fuck, etc. last name is Bafiera so short for his name
DADA666,NOT ON QUICKWEB YET,daddy 666
DWN2PND,NOT ON QUICKWEB YET,DOWN TO POUND, SEXUAL
EXPOPO,NOT ON QUICKWEB YET,EX POLICE
IM BAKA,NOT ON QUICKWEB YET,BAKA=IDIOT, FOOL OR STUPID IN JAPANESE
5ODPW,NOT ON QUICKWEB YET,50=police, can't do ani. Auto club only gave customer first name
MEHO3,NOT ON QUICKWEB YET,"likely means ""mijo"" but pulled for ho, not a look-alike"
PNKSJP,NOT ON QUICKWEB YET,pulled for pink=pussy. Customer last name is Pinkiert, he is a firefighter and owns a Jeep
BB BTTM,NOT ON QUICKWEB YET,bottom, can have s&m sexual connotations, also bottom=ass
BOMBON4,NOT ON QUICKWEB YET,bomb, OR bombon (Spanish..not sure of slang translation?)
CMB 88,NOT ON QUICKWEB YET,no 88 vehicle, 88=hate symbol (or good luck!)
4 J RED,NOT ON QUICKWEB YET,RED=GANG COLOR
8T8 ROCS,NOT ON QUICKWEB YET,88=HATE SYMBOL, NO 88 VEHCLE
AK 66,AARON & KAREN ANNIVERSARY - JUNE 6,AK AS IN GUN
AL13JDL,NAMES,13 GANG REFERENCE
BB8BBBB,INTERESTING,LOOKS LIKE B IS BEING SUBSTITUTED FOR A 8
BLU GILL,NAME OF A FISH.,BLUE
COMO TF,COME ON MONDAY THINK FRIDAY,TF THE FUCK
FOR2OHP,420 HORSE POWER MOTOR,420 AS IN MARIJUANA
G3E1E0,GEE310 SCRAMBLED. GEE IS MY NICKNAME AREA CODE 3100,310 AREA CODE
HEMI8RS,HEMI IS THE ENGINE 8 IS FOR ATE R IS FOR RAY AND S IS FOR SARAH,HEMI HATERS
JO6 D12,MY GRANDDAUGHTER INITIAL AND BIRTH YEAR. MY GRANDSON INTIAL AND BIRTH YEAR.,LOOK  A LIKE
KANE 7O7,"707 IS THE AMOUNT OF HP IN THE CAR. KANE IS THE NAME OF A PROFESSIONAL WRESTLER THE CAR IS ""NAMED"" AFTER",707 AREA CODE
LA818SF,IT STANDS FOR LOS ANGELES SAN FERNANDO 818 BEING THE AREA CODE,818 AREA CODE
L BURRO,,DONKEY OR ASS
MGUNZ86,END RANK OF MILITARY AND YEAR ENTERED MILITARY,GUNZ
MUNOZG,MY LAST NAME,G AS IN GANGSTER
NAGRA 92,ITS MY SURNAME,NAGRA LOOKS LIKE DEROGATORY TERM FOR NEGRO
NALA88,,88 HITLER REFERENCE
NOT F U,NOT FOR YOU IT MEANS,NOT FUCK YOU
OCBEAVS,ORANGE COUNTY BEAVERS (OREGON STATE UNIVERSITY ALUM),BEAVER
POSCHVY,THE PLACEMENT OF LETTERING IS IMPORTANT IF IT IS ALREADY TOOKEN I WOULD LIKE TO TRY ALTERNATIVE. MEANING: CHEVY IS EXPENSIVE TO FIX UP VS. SELLING IT THANK YOU FOR CONSIDERATION.,PIECE OF SHIT CHEVY
THGOOCH,NICKNAME,THE GOOCH
THNXUS D,,THANKS US D AS IN USDA BEEF.. CAN BE TAKEN AS A SEXUAL REFRENCE
TK 18,INTIALS AND LUCKY NUMBER,18 HITLER REFERENCE
WAGZ 88,LAST NAME AND FAVORITE NUMBER,88 HITLER REFERENCE
XOXXXOX,HUG AND KISSES SYMBOLS,XXX SEXUAL REFERENCE
YTS CAR,MY LAST NAME IS WHITE AND YT IS MY NICK NAME,WHITES CAR.. CAN BE TAKEN AS WHITES ONLY CAR
YTS WIFE,OUR LAST NAME IS WHITE AND YT IS A NICK NAME AND ITS FOR MY WIFE.,WHITES WIFE
13SKUNK,2013 SKUNK DODGE CHALLENGER,13 GANG REFERENCE
3CN 1RP,PRINCE,LOOK  A LIKE?
3 17 13,FAMILY BIRTHDAY.,13 GANG REFRENCE OR COULD BE A DATE
8WFS8,WHOLESALE FASHION SQUARE.COM,88 HITLER REFERENCE
CV 88,NAME INITIALS AND FAVORITE NUMBERS,88 HITLER REFERENCE
HTEN14C,CARRIE AND HUMBERTO OCTOBER 14,14 GANG REERENCE
JIMBAWB,,CAN BE TAKEN AS A DEREOGATORY TERM
OINK BOX,,OINK AS IN PIG
PC 2 13,PEDLEY CONSTRUCTION TRUCK #2 13,13 GANG REFRERENCE(THERE ARE OTHER NUMBER IN THR SEQUENCE)
TELLI G,NICK NAME,G AS IN GANGSTER
WAC JOB 1,FUN TIMES,WACK JOB
YT4EVER,YOURS TRULY FOR EVER,WHITE 4 EVER
4BOOBEZ,MY WIFES AND I NICK NAME FOR EACH OTHER.4 BOOBIE =(BABY),FOR BOOBIES BREAST
8GMJC 88,,88 HITLER REFERENCE
88XXX88,,88 HITLER REFERENCE
FXDNCHL,FXD IS A MOTORCYCLE MODEL AND NCHL STANDS FOR AND CHILL,LOOKS LIKE FUCKS THEN CHILL
SAUCY AF,SAUCY STANDS FOR SHARP STYLISH. AF STANDS FOR AIRFORCES, WHICH ARE THE ONLY SHOES I WEAR. I OWN OVER 100 PAIRS,SAUCY AS FUCK
14 KARMA,ONE FOR KARMA,14 GANG REFERENCE
ASHOOOO,MY NICKNAME,ASS HOLE
ASKS BS,,ASK BULLSHIT
BADKITE,BAD KITTY...AKA JAGUAR,BAD KITTY
BATS88,LOVER OF BATMAN. BORN IN 1988,88 HITLER REFERENCE
BLC DTH,,BLACK DEATH
G PADLLA,FIRST INITIAL AND LAST NAME. GINA PADILLA,G IS THE CUSTOMERS FIRST INITIAL
GR88SCT,GREAT SCOT,GREAT SCOTT BUT 88 IS HITLER REFERENCE
IZYGUNR,NICKNAME,GUNNER
JANI 323,MY NICKNAME AND THE MODEL OF MY CAR,323 AREA CODE
KICROXX,I AM A MARATHON RUNNER AND KICK ROCKS OFTEN !!,KICK ROCKS
KINGZ13,FAVORITE SPORTS TEAM AND LUCKY NUMBER,13 GANG REFERENCE
MAGIC 13,OUR LOVE OF MAGIC & GOING TO THE MAGIC CASTLE. AND THE # 13 IS OUR FAVORITE NUMBER & OUR WEDDING DATE,13 GANG REFERENCE
MN KILLA,NATIVE AMERICAN LAST NAME.,MAN KILLER
M323M,INTIAL AND PRIME NUMBERS,AREA CODE
NOMO FKS,TO BE FUNNY,NO MORE FUCKS
PAL JEFE,,JEFE BOSS GANG REFERENCE
PJSTACO,IN MEMORY OF PASTOR JUAN JUAREZ,TACO
SHEESHA,NICKNAME FOR ALYSSA,HOOKA
SLICK 88,NICKNAME,88 HITLER REFERENCE
SOZINHO,LAST NAME,HOE
SS BUZZ,,BUZZ AS IN HIGH
S11B13Z,NICKNAME FOR SUBARUS: SUB,13 GANG REFERENCE
S2BIG4U,IS TOO BIG FOR YOU (4X4 JEEP),IS TO BE FOR YOU
TAAHKOO,KAROK FOR WHITE,TACO
TACO OG,I OWN SANCHOS TACOS AND MY MOST POPULAR MENU ITEM IS THE OG TACO... BUT THAT WASNT AVAILABLE,TACO OG ORIGINAL GANGSTER
TACOOOO,LOWERED 1964 CADILLAC THAT IS NICKNAMED TACO......,TACO
YULIN G,,G AS IN GANGSTER
1BADAZV,MY CAR IS A ONE OF A KIND CADILLAC CTS-V THAT I PURCHASED IN AZ (ARIZONA).,1 BAD ASS
13 GILL,13 IS MY LUCKY NUM GILL IS MY LAST NAME,13 GANG REFERENCE
7O7V7O7,DATE,707 AREA CODE
831TAT2,,831 AREA CODE
88KSA88,INITIALS AND LUCKY NUMBER 8S,88 HITLER REFERENCE
RRKY$14,,14 GANG REFERENCE
MR LOUD,MY HUSBAND'S NICK NAME SINCE HE WAS IN HIGH SCHOOL,LOUD AS IN MARIJUANA
PYST6O,,PISSED
EATKITY,I LOVE CATS,EAT KITTY SEXUAL REFERENCE
EL JEFE9,THE BOSS,JEFE BOSS GANG REFERENCE
GSQUAD6,GIBERSON PARTY OF 6,G AS IN GANGSTER
S18K168,MEANINGFUL INITIALS AND BIRTHDAYS (IN HONOR OF FAMILY MEMBERS),18 HITLER REFERENCE
29614II,LOVE,LOOKS LIKE AN EXEMPT 1 SUBSTITUED FOR I
4X4 INDO,,INDO AS IN WEED
5 TACOS,5 IN THE FAMILY AND WE LIKE TACOS!,TACOS
AMRAK13,NOT ON QUICKWEB YET,13=GANG NUMBER, NO 2013 CAR
BIMMER G,THE TYPE OF CAR I DRIVE IS A BMW AND THE G STANDS FOR MY MIDDLE NAME WHICH IS GILBERTO,g=gangster
BLOWMBL,CAR WILL BE USED TO TRANSPORT HAIR DRIERS,BLOWMOBILE ...blow can have sexual connotations
BLUUUUU,THE COLOR BLUE,BLUE, GANG COLOR
BRNNOUT,BRUNO OUT,"BURNOUT, STONER"
COCHOLO,IT IS MY DOGS NAME,cholo has gang connotations
DAKUSAN,DAKU MEANS DARK IN JAPANESE, SINCE MY CAR IS BLACK I NAMED IT DAKU. SAN IS A POLITE SUFFIX THAT JAPANESE USE WHEN SAYING SOMEONE'S NAME.IT'S LIKE SAYING MR. DARK,"daku appears to mean dark in Japanese but I don’t know context or if it is ""polite"". DAKU is unacceptable"
DAM HNDL,MY INITIALS D.A.M. WORD HANDLE ABBREVIATED,DAMN. DAM IS CUSTOMER'S INITIALS
DEZ NETS,"HUGE BROOKLYN NETS FAN (NBA) EVEN THOUGH WE ARENT GOOD RIGHT NOW- ""DA EASY NETS""","DEEZ NUTS, AN ""EXPRESSION"""
DMNDNYL,DAMN DANIEL,DAMN, CUSTOMER NAME IS DANIEL
EL CHOPQ,MY 6 YEARS OLD SONS COOKING CLASS CALI STATE CHAMPS:),THINK IT SAYS 'EL CHOPO' (CHAPO)THE NICKNAME OF JUAQUIN GUZMAN THE MEXICAN DRUG LORD. (EL CHOPO was recently denied)
ENJODA,MOVING,JODA=FUCK IN SPANISH
ENRMASS,NOT ON QUICKWEB YET,her name is Norma, sounds like enormous but has ASS
ET CHET,BRAND NAME, 3D PRINTING METALLIC ENGRAVING, PLAQUES, CUSTOM TROPHIES, SPORTS, ACRYLIC.,EAT CHET
EVA HUM,NOT ON QUICKWEB YET,NO HUMMER ON ANI, HUM CAN HAVE SEXUAL CONNOTATIONS
FLXFOOL,FLEX FUEL,FOOL, DIRECTED AT OTHERS…
FUKPIGS,PERSONAL,FUCK PIGS (COPS)
GITREKD,GET RECKED,get wrecked. wrecked=intoxicated by drugs or alcohol
HATHCOK,THIS IS MY LAST NAME HATHCOCK,IT IS HIS LAST NAME… PULLED FOR COCK, HAS COCK
INGA TU,COMEDY PHRASE FROM A COMEDIAN,INGA TU search brings up chinga tu madre, fuck your mother in Spanish
ISFTW,ISF FOR THE WIN,FTW fuck the world, ani shows scion
JA6 OFF,ENDEARING PITTSBURGH REFERENCE.,jagoff, pitssburg slang for asshole
JR 5O,NOT ON QUICKWEB YET,50=police, no mustang or 50 year model on ani
L8J 6V9,NOT ON QUICKWEB YET,L ATE J… 69? NO 69 ON ANI
ME ASL,I AM USING AMERICAN SIGN LANGUAGE,ME ASSHOLE, no fee reservation at office 501 originally ordered on internet 9/15. not assigned. ASL is abbreviation for American Sign Language
MLF HNTR,MILF HUNTER,sexual connotation
M REDSTR,ITS MY MAIDEN NAME,RED, GANG COLOR
RCH K88,MY WIFE, MY SON AND MY AMERICAN NAMES FIRST INITIAL.,88=hate symbol, no 1988 car
RED RAPT,I HAVE A 2013 F-150 RAPTOR THAT IS RED. RED RAPTOR,RED=GANG COLOR
RED STR1,RED STAR 1,RED=GANG COLOR
REV14MM,NOT ON QUICKWEB YET,14=HATE SYMBOL, NO 2014 ON ANI
RIPAS57,REST IN PEACE ARE SON 57,RIP ASS
RK 88,R IS THE FIRST LETTER OF RAY. K IS THE FIRST LETTER OF MY LAST NAME. 88 IS MY BORN YEAR.,88=hate symbol
SCRWD91,WORK RELATED,SCREWED, FUCKED
SIYAPAA,SIYAPAA IS PUNJABI FOR CRAZY. MY JEEP IS KNOWN AS THE BANDARJEEP, OR MONKEY JEEP IN PUNJABI/HINDI.,"CANT TRANSLATE, PULLED BASED ON THEIR MEANING ""CRAZY"""
S KOK,FIRST NAME INITIAL AND LASTNAME,ITS NOT CUSTOMER NAME OR INITIALS, PULLED FOR COCK
TACO MNY,WORK AT A MEXICAN RESTAURANT,TACO MONEY, TACO=PUSSY
TRUCKUM,TRUCKING,TRUCK 'EM, LIKE FUCK 'EM?
T5W6I2N,I AM A TWIN THAT HAS GROWN UP IN THE 562 AREA. THE PLATES ARE BOTH COMBINED .LICENSE PLATES HAVE THAT OLD SCHOOL TOUCH,area code 562- LA county
U2RNEXT,FORUM NAME,THREATENING? YOU TOO ARE NEXT
VEN1CE3,NOT ON QUICKWEB YET,NO 2013 CAR, 13=GANG NUMBER OR SUB 1 FOR 1 TO SAY VENICE (VENICE3 isnt taken though..)
WEED 2NO,LANDSCAPING & GARDENING CONAPNY NAME,WEED=MARIJUANA
WT TRSH,OLD CAR,WHITE TRASH
ZA KAYF,FOR FUN,KAYF=PLEASURE IN ARABIC, CAN TRANSLATE INTO A DRUG CONNOTATION (ALSO KAIF)
1VIPER3,YEAR AND MODEL,13=GANG NUMBER BUT DOES HAVE A 2013 CADILLAC… THAT'S ALL THAT CAME UP ON ANI
34BTW13,NOT ON QUICKWEB YET,13=GANG NUMBER, NO 2013 CAR
69HUEVO,1969 FORD RANCHERO, I CALL HER HUEVO  RANCHERO LIKE THE BREAKFAST DISH,does have a 69 ford, ani shows p/u. pulled because huevos=Spanish slang for balls
71 NUTT,NOT ON QUICKWEB YET,HAS A 71 CHEV 2D, PULLED FOR NUT. SEXUAL CONNOTATIONS
8YIN88,NOT ON QUICKWEB YET,88=hate symbol, no 1988 car
89ROLLA,1989 TOYOTA COROLLA SHORT TERM- 89 ROLLA,NO TOYOTA ON ANI, URBAN DIC SAYS ROLLA=A HO
DAMHD,NOT ON QUICKWEB YET,DAMN HARLEY DAVIDSON
EFFE,NOT ON QUICKWEB YET,ITALIAN AND FRENCH FOR THE LETTER 'F' (FUCK?) HAS A YAMAHA M/C
LOW 14,NOT ON QUICKWEB YET,14=HATE SYMBOL BUT DOES HAVE A 2014 HARLEY DAVIDSON
MANX 4TT,NOT ON QUICKWEB YET,TT CAN MEAN PENIS IN TAGALOG, HAS A 2008 ACURA (NOT CUSTOMER INITIALS)
RED RYDR,NOT ON QUICKWEB YET,RED=GANG COLOR
REDWRKS,NOT ON QUICKWEB YET,RED=GANG COLOR
UCNGTIT,NOT ON QUICKWEB YET,YOU CAN GET IT, SEXUAL CONNOTATION
$HUMMRZ,NOT ON QUICKWEB YET,they have an 03 hummer, pulled for sexual connotations
IVREE88,REFERS TO THE NUMBER OF LEYS ON A PIANO.,88=HATE SYMBOL. TRUE ABOUT PIANO KEYS
SLUMLD,SLUM LORD,slum lord, SLUMLRD is expired 2014, and rereg. Veteran plate
REDD,NOT ON QUICKWEB YET,RED=GANG COLOR
BBBLUGA,NOT ON QUICKWEB YET,TAGALOG, DARK SKINNED PERSON (BALUGA)
BYE SUKR,BYE, SUCKER. A PLAYFUL PLATE AS I PASS PEOPLE THAT DRIVE TOO SLOW,sucker
DNCAFFR,WE OWN A DANCE STUDIO CALLED THE DANCE AFFAIR.,kaffir is a racial slur used in south africa
FHYBRID,"GRADE A,B,C,D,E,F ""F"" LIFTED JEEP HYBRID. HALF SPACE BETWEEN F AND HYBRID",FUCK HYBRID, JEEP RECORD SHOWS GAS
M FN2187,MOVIE REFERENCE (STAR WARS) THAT FITS THE DESIGN/COLOR OF OUR VEHICLE,FN2187 IS THE CHARACTER IN STAR WARS. 187 (MURDER)AND MFN (MOTHERFUCKING)
PINKPET,I HAVE A PINK DOG.,PINK=PUSSY
RED BNZ,IT'S A RED MERCEDES BENZ,no mercedes on ani, pulled for red=gang color bnz=buns if not benz
SO BARAH,NOT ON QUICKWEB YET,GOOGLE SEARCH SHOWS A TRANSLATION OF EAT IN HEBREW…
4 NUGNUG,NICKNAME,urban dictionary says it is Tagalog slang for N word
56 ROC88,THIS PLATE IS FOR A 1956 OLDSMOBILE ROCKET  88,PULLED FOR 88=HATE SYMBOL BUT THIS IS AN ACTUAL MODEL. DIDN’T SHOW UP ON ANI BUT HE DOES HAVE ANOTHER OLDER MODEL VEHICLE SO MAYBE ITS NOT REGISTERED
PB 8RAJA,NOT ON QUICKWEB YET,ATE
AWJFAWK,INITIAL OF MY KIDS,FAWK…FUCK
CLEAN 13,NO MICRO,13-GANG
CLN SHT,FAVORITE TERM,CLEAN SHIT
COTA 18,LAST NAME FAVORITE NUMBER,18-HITLER
CWBOY69,COWBOY FAN AND BIRTH YEAR,COULDN'T VERIFY 1969
DARTH 18,DARTH VADER AND FAVORITE NUMBER,18-HITLER
HELL SS,THE LICENSE PLATES ARE FOR A CAMARO SS, SO THE SS IS TO REPRESENT THE CAR AND HELL IS SHORT FOR HELLA. TRAYING TO SAY THAT IT'S HELLA FAST.,COULDN'T VERIFY DODGE
H8EVRY1,MY PARENTS USED TO CALL ME LITTLE HATER WHEN I WAS LITTLE. ALWAYS WANTED A LICENSE PLATE OF IT. FINALLY THOUGHT OF THIS ONE AND IT'S AVAILABLE.,HATE EVERYONE
ILB562R,WEDDING ANNIVERSARY,CA AREA CODE
KILACAL,NICKNAME,KILL A CAL, KILLER CAL. CUSTOMERS NAME IS CALLE
KIRBY13,LAST NAME AN,13-GANG
NIB13,BLACK SABBATH SONG AND CD,13-GANG
NUDZ PLZ,CAR CLUB,NUDES (PICTURES) PLEASE
SMITH13,LAST NAME AND DAD'S PASSING DAY,13-GANG
TROJN18,THIS IS MY SCHOOL MASCOT AND THE YEAR I WILL GRADUATE WITH MY MASTERS DEGREE,18-HITLER
TUNA4LF,NO MICRO,TUNA
VELLA88,LAST NAME AND LUCKY NUMBER,88-HITLER
1BD BICH,ONE BAD BITCH,ONE BAD BITCH
13 KILO,COMPANY SERVED WITH IN USMC,13-GANG
49FES13,MY FATHERS BIRTH YEAR/INITIALS/YEAR PASSED AWAY,13-GANG
7ONPS13,70 BLAZER,13-GANG
SMT$AST,INITIALS OF 2 KIDS,SMART ASS?
ELITE 18,ELITE 18,18-HITLER
GETN BSY,WE ARE ALWAYS GETTING BUSY IN OUR HOME. I'M A SINGLE MOM, WORK, SCHOOL, BAND, CITY COUNCIL MEETINGS, SPORTS, DR APPT, ETC. GETTING BUSY!!!,GETTING BUSY
SNAP SHT,SNAPSHOT. I AM A PHOTOGRAPHER,SNAP SHIT
BCHNC1O,BCHN IS FOR MY SHOP NAME AND C10 IS THE CHEVY TRUCK I OWN,BITCHIN' C10
BCL14,THESE ARE MY INITIALS AND MY BIRTHDAY,14-HITLER
BKTHFUP,BACK THE FREAK UP,BACK THE FUCK UP
BRWN 88,FAMILY LAST NAME AND 1988 IS A SPECIAL YEAR THAT REPRESENTS MY FATHER THAT PASSED AWAY,88-HITLER
BUKNAAS,A DRINK,BUCKING ASS
CULVR 18,SCHOOL AND GRADUATION YEAR,18-HITLER
FNMULES,FUN MULES,FUN MULES, FUCKING MULES
G13GILL,FIRST INITIAL AND MY LAST NAME,13-GANG
HELLS YA,HELLS YEA ABBREVIATED,HELL YEA
H8 DGRS,HATE THE DODGERS,HATE DODGERS
IM2HIGH,I'M A SURVIVOR I HAVE A NEW 2ND LIVE. I ENJOY EVERY MINUTE OF IT,I'M TOO HIGH
INLDMOB,IT STANDS FOR MY CLOTHING/PHOTOGRAPHY NAME,MOB
NJG14,NAASON JOAQUIN GARCIA 2014,14-HITLER
NONI88,NEPHEWS GAVE ME THE NICKNAME,88-HITLER
NOYZSOB,NOISY SOB,NOISY SON OF A BITCH
NO 14,NUMBER 14,14-HITLER
OSC OG1,OSCAR ORIGINAL 1,OG
PHOQUTW,JAPANESE, CUSTOM,FUCK YOU TOO
ROCKY14,MEMORY OF MY DAD,14-HITLER
SOLO MOB,SOLO MEANS BY YOURSELF AND MOB MEANS GROUP OF PEOPLE SO IT MEANS BY MYSELF AS A GROUP,MOB
STFUPLZ,SPEE THE FREEWAY UP PLEASE,SHUT THE FUCK UP PLEASE
STHASFK,STAR WARS VIEDEO GAME SITH LORD CHARACTER REFERENCE,SITH AS FUCK
STUGATS,MY CHILDHOOD DOGS NAME WHO WAS VERY DEAR TO ME,A VERSION OF DICK IN ITALIAN
WHIT E88,MY NICKNAME,88-HITLER
XXWTFXX,MY VIDEO GAME HANDLE,WHAT THE FUCK
1BDAS69,ONE AS BAD AS A 1969 (IT’S A CLONE CAR SO IT IS AS CLOSE AS A 1969 PLYMOUTH GTX),ONE BADASS 69
1 GLOR18,GLOR IS FOR GLORIA AND 18 IS MY BIRTHDATE,18-HITLER
13MM15S,INITIALS AND RACE NUMBERS,13MM GUN
13RDRNR,2013 ROADRUNNER. CODE FOR 2013 BOSS 302,13-GANG
13XTREK,2013 CROSSTREK,13-GANG
2FKS GVN,SAYING THAT MY DECEASED HUSBAND ALWAYS SAID,TWO FUCKS GIVEN
7OX7M18,JESUS'S COMMAND TO FORGIVE ALWAYS MATTHEW 18:22,M18. GUN
LUKE #14,MY SON WAS BORN 2014. LUKE IS HIS NAME,14-HITLER
F$BOOBS,I LOVE BOOBS,BOOBS
GOLFKD,GOLF KID,GOL FUCKED
KLL16,INITIALS OF NAME AND DATE OF BIRTH,KILL
LC2KLL,JAMES BOND MOVIES,LIKE TO…LICENSE TO KILL
JSTAHOE,JUST A TAHOE,J'S TAHOE…. JUST A HOE
NINER88,FOOTBALL TEAM AND BIRTHDAY,88-HITLER
ONK OINK,OINK,THE SOUND A PIG MAKES
STYMOBN,STAY RIDDING,MOBBIN
DCK XTSN,I'M THE EXTENDED VERSION OF MY FATHER, WHO'S NAME IS DICK AND I WAS NAMED AFTER HIM.,DICK EXTENTION. CUSTOMER'S NAME IS BRANT
BAGTEET,NOT ON QUICKWEB YET,BAG TEAT… IS THAT LIKE 'BAG ASS' MEANING TO LEAVE? TEAT=NIPPLE
BLK LPR,NOT ON QUICKWEB YET,BLACK LEPER (AS IN SOMEONE WITH LEPROSY?) OR LEOPARD?
CHOKY,NOT ON QUICKWEB YET,CHOKE?
DB4L 7O7,NOT ON QUICKWEB YET,707 IS HIS AREA CODE IN UKIAH
G ACTIVE,NOT ON QUICKWEB YET,G
LA213OG,NOT ON QUICKWEB YET,213 LOS ANGELES AREA CODE, ALSO OG
LICO A G,NOT ON QUICKWEB YET,G=GANGSTER
LOPEZ 5O,NOT ON QUICKWEB YET,50 SLANG FOR POLICE, NO 50 YEAR MODEL OR FORD ON ANI
MRD3RD,NOT ON QUICKWEB YET,SAME CUSTOMER WAS DENIED MRDERD (MURDERED) 2/2016. STILL SAYS MURDERED AND IS ALSO SUB  # FOR LETTER
PARDN M3,NOT ON QUICKWEB YET,A PLAY ON PARDON ME, BUT HAS A BMW (M3) PARDN ME is out and currently registered
PIGZPEN,NOT ON QUICKWEB YET,pigs pen… this isnt a m/c or trailer plate. pulled for pig as negative to law enforcement(has a Dodge van/camper)
RMBER M3,NOT ON QUICKWEB YET,same situation as PARDN M3 above, this customer has BMW but RMBER ME is currently registered. Look-alike?
RNFNRLR,NOT ON QUICKWEB YET,rock and effin roller
SB 88 CA,NOT ON QUICKWEB YET,88=HATE SYMBOL BUT DOES HAVE AN 88 CHEVY, LIVES IN SANTA BARBARA (SB)
TETLSTY,NOT ON QUICKWEB YET,LUSTY?
UP GREGS,NOT ON QUICKWEB YET,up Greg's (ass? I dunno) not customer's name...
VSTNT,NOT ON QUICKWEB YET,VS IS CUSTOMER INITIALS, PULLED FOR TNT, DYNAMITE
1GOVCA1,NOT ON QUICKWEB YET,LOOKS LIKE AN OFFICIAL GOVERNMENT PLATE, GOV CA
5UR187,NOT ON QUICKWEB YET,aside from looking like an old auto plate, pulled for 187=murder and SUR=surenos gang
HATED,NOT ON QUICKWEB YET,PULLED FOR 'HATE' BUT CLEARLY TALKING ABOUT HIMSELF, AN EXCEPTION?
SHORTY G,NOT ON QUICKWEB YET,G=GANGSTER
AVAGSL,NOT ON QUICKWEB YET,VAG? PET LOVERS
BD#SN88,NOT ON QUICKWEB YET,B.D. HANSEN, PULLED FOR 88=HATE SYMBOL. NO 88 CAR ON ANI
GMA$TNT,NOT ON QUICKWEB YET,GRANDMA LOVES DYNAMITE
